AirLine_Name,Rating - 10,Title,Name,Date,Review,Recommend
AirAsia India,6,"""crew were welcoming""",V Bakshi,14th October 2023,"✅ Trip Verified | I had booked this fare at a very discounted rate as I needed to travel back to BLR. The check in experience was good, I had arrived early and there was still time for check in to open so I was told to wait for 30 mins before check in in my luggage. Post that I had noticed that the inbound was delayed due to which the departure was also slightly delayed by 40 mins. The crew were welcoming and this flight was not completely full. During boarding I had noticed that a lot of people had come with trolleys and they were told to check in their luggage which is good as a lot of folks come carrying big trolleys that just block the cabin overhead bins. The flight tried to make time en route and landing in BLR was swift along with luggage retrieval. One point to note here is that the seat pitch may be on the tighter side compared to other airlines but otherwise this was a good trip where the crew also distributed water bottles to everyone during boarding.",yes
AirAsia India,1,"""furious and disappointed""",G Oscar,14th October 2023,"✅ Trip Verified | I travel at least four times a month and Air Asia truly ruins any flight that I have to unwillingly take with them. With the horrible past experiences I made it a point to never book this airline but some times due to emergencies I had to resort to this and as I expected I was so furious and disappointed by the end of it. The staff isn’t trained at all and I don’t think they’re equipped for basic customer management. They are angry, rude and unbothered. Worse is, I think they’re so frustrated with where they are working",no
AirAsia India,10,"""amazing service and support""",Rahul Verma,14th October 2023,"✅ Trip Verified | Taking this opportunity to appreciate and thank the entire team of I5 792 for providing amazing service and support during the entire journey and making it a memorable one. I have traveled a lot however this was the first time for my parents and trust me it could not have been better than this if it wasn’t the crew who made it happen, specially Mr Shubham the cabin supervisor. He is extremely polite, professional and empathetic. He treated my family like his own and was very polite and respectful to all the other customers as far I noticed. I wish to see cabin crew like him on all flights because they are the ones who make a difference. Would also like to highlight his amazing announcements, loud and clear unlike many other. Once again thank you everyone for an amazing experience hope to see you all in future on AirAsia flights.",yes
AirAsia India,1,"""Waste of time and money""",G Akron,14th October 2023,"✅ Trip Verified | The worst airlines in the history of mankind. Absolutely hate it, won't recommend at all. Stay away from it and go for Indigo or Akasa. Waste of time and money.",no
AirAsia India,8,"""thumbs up to boarding crew""",Sirajudeen Jawahar ali,14th October 2023,"✅ Trip Verified |  Would like to give big thumbs up to boarding crew Ms Noor at Tiruchirappalli Airport. We are four family, flying from Trichy(India) to Singapore). Boarding process went very smooth with her providing detailed explanation before keep luggage, what can bring and what cannot, She is quite knowledgeable and inform the passenger upfront to complete the boarding process smooth and fast.",yes
AirAsia India,9,"""Services were good""",Arpita Chatterjee,14th October 2023,Not Verified |  My mother travelled alone in Air Asia on 07 June 2023. The flight was very comfortable. Services were good. Ground staff was extremely helpful. Sincere thanks to the ticketing staff.,yes
AirAsia India,10,"""thank entire staff of Air Asia""",Sharayu Parab,14th October 2023,✅ Trip Verified |  I will like to thank entire staff of Air Asia. We were on family vacation with my 2.6 year old child and got amazing cooperation. Without any hassle we could book seats and the entire journey was enjoyable. Will like to be thankful to the pilots as the landing on all the flights was smooth. I paid my gratitude to the staff personally too.,yes
AirAsia India,10,"""impressed with her fluency""",N Padesh,14th October 2023,"✅ Trip Verified |  Special appreciation to the cabin crew Sonika. I was super impressed with her fluency in announcements, all three different languages and it was just amazing to hear her out.",yes
AirAsia India,1,"""completely unacceptable behaviour""",V Krishnan,14th October 2023,"✅ Trip Verified |  I was supposed to be travelling from Bangalore to kochi on the AirAsia flight on March 23. We reached the Airport on time but because they didn't mention that the flight is in the newly launched terminal. We were late to reach the boarding gate but even though there was still time to board the flight, the crew didn't allow to board the flight. We knew this because when we where waiting to leave from the second terminal 15 minutes after not allowed entry another Airasia crew asked tried to help us to board the same flight 15 minutes after being denied entry. This is completely unacceptable behaviour unexpected from AirAsia India and we will make sure not to choose this flight again in future.",no
AirAsia India,8,"""hospitality and customer delight""",Kartika Rai,14th October 2023,✅ Trip Verified | Airline staff helped me with last minute web check in cancellation also helped locating the luggage and provided the best support and service. 5/5 for such hospitality and customer delight,yes
